id;name;suhu;kelembaban;cahaya;keran;date
1637;syarif;27;95;00.25;49.81;04/08/20 11.40
1638;syarif;27;95;00.34;50.07.00;04/08/20 11.40
1639;syarif;27;95;00.29;51.32.00;04/08/20 11.41
1640;syarif;27;95;00.29;51.32.00;04/08/20 11.41
1641;syarif;27;95;00.34;50.07.00;04/08/20 11.41
1642;syarif;27;95;00.25;49.81;04/08/20 11.41
1643;syarif;27;95;00.25;49.81;04/08/20 11.42
1644;syarif;27;95;00.02;46.44.00;04/08/20 11.42
1645;syarif;27;95;00.29;51.32.00;04/08/20 11.42
1646;syarif;27;95;00.29;51.32.00;04/08/20 11.42
1647;syarif;27;95;00.02;46.44.00;04/08/20 11.43
1648;syarif;27;95;00.02;0;04/08/20 11.43
1649;syarif;27;95;00.25;0;04/08/20 11.43
1650;syarif;27;95;0,235416667;0;04/08/20 11.44
1651;syarif;27;95;04.07;0;04/08/20 11.44
1652;syarif;27;95;00.25;0;04/08/20 11.44
1653;syarif;27;95;00.25;0;04/08/20 11.44
1654;syarif;27;95;00.25;49.81;04/08/20 11.45
1655;syarif;27;95;00.02;46.44.00;04/08/20 11.45
1656;syarif;27;95;00.25;49.81;04/08/20 11.45
1657;syarif;27;95;00.02;46.44.00;04/08/20 11.46
1658;syarif;27;95;00.29;51.32.00;04/08/20 11.46
1659;syarif;27;95;00.02;46.44.00;04/08/20 11.46
1660;syarif;27;95;00.29;51.32.00;04/08/20 11.46
1661;syarif;27;95;00.25;49.81;04/08/20 11.47
1662;syarif;27;95;00.25;49.81;04/08/20 11.47
1663;syarif;27;95;00.29;51.32.00;04/08/20 11.47
1664;syarif;27;95;00.29;51.32.00;04/08/20 11.47
1665;syarif;27;95;00.34;50.07.00;04/08/20 11.48
1666;syarif;27;95;00.25;49.81;04/08/20 11.48
1667;syarif;27;95;00.34;50.07.00;04/08/20 11.48
1668;syarif;27;95;00.34;50.07.00;04/08/20 11.48
1669;syarif;27;95;00.34;50.07.00;04/08/20 11.49
1670;syarif;27;95;00.34;50.07.00;04/08/20 11.49
1671;syarif;27;95;00.39;50.08.00;04/08/20 11.49
1672;syarif;27;95;00.34;50.07.00;04/08/20 11.49
1673;syarif;27;95;00.34;50.07.00;04/08/20 11.50
1674;syarif;27;95;00.34;50.07.00;04/08/20 11.50
1675;syarif;27;95;00.34;50.07.00;04/08/20 11.50
1676;syarif;27;95;00.34;50.07.00;04/08/20 11.50
1677;syarif;27;95;00.34;50.07.00;04/08/20 11.51
1678;syarif;27;95;00.29;51.32.00;04/08/20 11.51
1679;syarif;27;95;00.34;50.07.00;04/08/20 11.51
1680;syarif;27;95;00.29;51.32.00;04/08/20 11.52
1681;syarif;27;95;00.29;51.32.00;04/08/20 11.52
1682;syarif;27;95;00.29;51.32.00;04/08/20 11.52
1683;syarif;27;95;00.29;51.32.00;04/08/20 11.52
1684;syarif;27;95;00.25;49.81;04/08/20 11.53
1685;syarif;27;95;00.29;51.32.00;04/08/20 11.53
1686;syarif;27;95;00.29;51.32.00;04/08/20 11.53
